Name;Party;Municipality;Education;Year of birth;Language;Language skills;Gender;In my wellbeing services county, I should be able to get non-urgent treatment in primary health care within two weeks.;Customer fees for public healthcare should be reduced.;It is right that public money is spent to support people's use of private healthcare.;One round-the-clock specialist hospital with emergency services will be enough in my wellbeing services county in the future.;I am prepared to compromise on the social and health services of my home municipality if it is in the interest of the entire wellbeing services county.;My wellbeing services county should attract doctors to health centers with financial incentives, even if that means cutting spending elsewhere.;My wellbeing services county should attract care staff from abroad.;My wellbeing services county must ensure that caregivers have a good command of Finnish or Swedish.;My wellbeing services county should also offer undocumented people healthcare that is not required by law.;This wellbeing services county should stop providing free contraception for young people.;My wellbeing services county should train social and healthcare workers about the diversity of sexual orientation and gender.;It is right that even small hospitals in Swedish-speaking areas be allowed maintain 24-hour special medical care services due to linguistic rights.;Young people should be able to access mental health services without an appointment in my wellbeing services county.;We should add more beds to 24-hour service housing for the elderly, even if it costs more.;In eldercare, home visits can be replaced by remote services.;Adult children should take more responsibility for caring for their elderly parents than they do now.;We must accept that one's place of residence affects the availability of basic social and healthcare services.;This wellbeing services county should reduce its purchase of child protection services from large companies.;Drug users should have the opportunity to exchange dirty needles for clean ones in all the municipalities in my wellbeing services county.;The current fire brigades must be maintained, even in remote areas.;Wellbeing services counties should be given the right to collect tax.;The number of wellbeing services counties should be reduced from the current 21.;Well-being areas must make budget cuts within the required timeframe, even if that means that services must be quickly reduced.;No-one should be allowed to hold triple roles as MP, municipal councillor and regional councillor at the same time.;My wellbeing services county must take into account the reduction of climate emissions in all its decisions.
Aki Lindén;Suomen Sosialidemokraattinen Puolue;Turku;ylempi korkeakoulututkinto;1952;suomi;suomi, ruotsi, englanti;male;3;3;1;0;0;1;1;2;1;0;2;2;3;3;0;1;1;3;1;3;0;1;0;0;2
Aki Markkola;Perussuomalaiset;Hollola;alempi korkeakoulututkinto;1983;suomi;suomi, englanti;male;2;2;3;3;1;2;0;3;0;0;0;0;3;3;2;2;2;1;3;3;0;1;0;3;1
Aki Mäkipernaa;Perussuomalaiset;Vantaa;ammattitutkinto;1983;suomi;suomi, ruotsi, englanti;male;3;3;2;3;0;1;1;3;0;1;0;0;3;2;2;2;2;2;0;2;0;3;2;2;0
Aki Partanen;Suomen Keskusta;Siilinjärvi;ylempi korkeakoulututkinto;1970;suomi;suomi, ruotsi, englanti;male;2;1;1;0;1;2;2;2;1;1;2;2;2;3;1;2;1;2;1;2;2;2;1;2;2
Aki Rokkonen;Vasemmistoliitto;Tampere;ylioppilas;2000;suomi;suomi, ruotsi, englanti, saksa;male;3;3;1;0;1;1;2;3;3;0;3;2;3;3;0;0;0;3;3;3;3;0;0;3;3
Aki Räisänen;Vasemmistoliitto;Kajaani;alempi korkeakoulututkinto;1954;suomi;suomi, ruotsi, englanti;male;3;2;1;3;2;0;3;3;1;0;2;0;2;1;3;2;1;3;1;1;3;0;1;2;2
Aki Sihvo;Suomen Sosialidemokraattinen Puolue;Lappeenranta;ylempi korkeakoulututkinto;1968;suomi;suomi, ruotsi, englanti;male;2;2;1;1;2;1;2;1;1;0;2;1;2;2;2;1;2;2;3;2;0;2;1;2;2
Akira Siivonen;Suomen Kommunistinen Puolue;Pori;ammattitutkinto;1996;suomi;suomi, ruotsi, englanti;other;3;3;0;1;1;1;2;3;2;0;3;3;3;3;1;0;0;3;3;2;3;2;1;3;3
Akseli Ekola;Vasemmistoliitto;Jyväskylä;ylempi korkeakoulututkinto;1994;suomi;suomi, ruotsi, englanti, saksa;male;3;3;1;1;3;2;1;3;3;0;3;1;3;2;0;1;2;3;3;3;3;1;0;3;3
Akseli Erkkilä;Suomen Keskusta;Kittilä;ylempi korkeakoulututkinto;1991;suomi;suomi, englanti;male;2;1;1;0;0;2;1;3;0;1;0;2;3;3;1;3;1;3;0;3;3;0;0;0;0
Akseli Eskolin;Vasemmistoliitto;Tampere;alempi korkeakoulututkinto;1983;suomi;suomi, englanti;male;3;3;0;1;2;2;1;3;3;0;3;2;3;3;1;1;1;3;3;3;3;3;0;3;2
Akseli Haanpää;Vasemmistoliitto;Jyväskylä;ylioppilas;1998;suomi;suomi, ruotsi, englanti, saksa;male;3;3;0;0;2;0;3;2;3;0;3;2;3;3;0;1;0;3;3;2;3;0;0;1;3
Akseli Hiltunen;Vasemmistoliitto;Jyväskylä;ylempi korkeakoulututkinto;1988;suomi;suomi, ruotsi, englanti, saksa;male;3;3;1;1;1;1;2;2;3;0;3;1;3;3;0;0;1;3;3;2;3;2;1;1;3
Akseli Lehtola;Vasemmistoliitto;Hamina;ylempi korkeakoulututkinto;1991;suomi;suomi, ruotsi, englanti, saksa, joku muu;male;1;1;1;2;2;1;1;2;2;1;1;0;1;2;1;1;2;3;2;1;1;1;1;1;2
Akseli Lehtonen;Kansallinen Kokoomus;Espoo;ylioppilas;2002;suomi;suomi, ruotsi, englanti, saksa;male;1;1;3;1;2;1;2;2;0;2;0;1;1;2;1;2;2;0;1;1;0;3;3;1;1
Akseli Ratamo;Vapauden liitto;Salo;alempi korkeakoulututkinto;1992;suomi;suomi, englanti, saksa;male;2;1;2;0;0;1;0;3;0;2;0;0;1;1;1;2;2;2;0;3;0;0;1;3;0
Aku Eronen;Suomen Keskusta;Myrskylä;ammattitutkinto;1953;suomi;suomi, englanti;male;3;1;2;3;2;1;1;3;2;1;2;1;1;2;2;1;1;2;0;3;1;2;1;2;2
